County,Bailey,%,Connally,%,Fisher,%,Total,Winner,
Concho,459,26.87%,1191,69.73%,58,3.40%,1708,2,
Cooke,3108,60.09%,1958,37.86%,106,2.05%,5172,1,
Coryell,1316,29.14%,3117,69.02%,83,1.84%,4516,2,
Cottle,661,33.76%,1199,61.24%,98,5.01%,1958,2,
Crane,164,26.89%,429,70.33%,17,2.79%,610,2,
Crockett,67,19.14%,271,77.43%,12,3.43%,350,2,
Crosby,718,27.10%,1840,69.46%,91,3.44%,2649,2,
Culberson,112,30.19%,257,69.27%,2,0.54%,371,2,
Dallam,650,38.12%,1014,59.47%,41,2.40%,1705,2,
Dallas,15747,41.05%,21825,56.89%,790,2.06%,38362,2,
Dawson,814,29.83%,1801,65.99%,114,4.18%,2729,2,
Deaf Smith,566,35.20%,1006,62.56%,36,2.24%,1608,2,
Delta,1258,42.99%,1560,53.32%,108,3.69%,2926,2,
Denton,3003,44.36%,3654,53.97%,113,1.67%,6770,2,
DeWitt,1797,52.19%,1566,45.48%,80,2.32%,3443,1,
Dickens,705,32.24%,1390,63.56%,92,4.21%,2187,2,
Dimmit,512,41.06%,707,56.70%,28,2.25%,1247,2,
Donley,949,41.71%,1251,54.99%,75,3.30%,2275,2,
Duval,2121,67.57%,1017,32.40%,1,0.03%,3139,1,
Eastland,2204,35.54%,3743,60.35%,255,4.11%,6202,2,Estimated from missing votes
Ector,310,33.01%,588,62.62%,41,4.37%,939,2,
Edwards,189,25.51%,531,71.66%,21,2.83%,741,2,
Ellis,2601,33.97%,4950,64.65%,106,1.38%,7657,2,
El Paso,3737,29.97%,8367,67.10%,366,2.94%,12470,2,
Erath,2171,43.00%,2723,53.93%,155,3.07%,5049,2,
Falls,1714,30.38%,3845,68.15%,83,1.47%,5642,2,
Fannin,3105,40.66%,4321,56.59%,210,2.75%,7636,2,
Fayette,3738,61.20%,2195,35.94%,175,2.87%,6108,1,
Fisher,833,27.74%,2109,70.23%,61,2.03%,3003,2,
Floyd,857,32.56%,1662,63.15%,113,4.29%,2632,2,
Foard,343,28.23%,835,68.72%,37,3.05%,1215,2,
Fort Bend,1578,43.27%,1931,52.95%,138,3.78%,3647,2,
Franklin,792,42.08%,1014,53.88%,76,4.04%,1882,2,
Freestone,1201,35.84%,2075,61.92%,75,2.24%,3351,2,
Frio,526,36.86%,822,57.60%,79,5.54%,1427,2,
Gaines,260,32.22%,513,63.57%,34,4.21%,807,2,
Galveston,3545,38.63%,5381,58.64%,250,2.72%,9176,2,
Garza,545,36.02%,914,60.41%,54,3.57%,1513,2,
