County,Hutchinson,%,Krueger,%,Barton,%,Fields,%,Fisher,%,Gutierrez,%,Brown,%,Davis,%,Draheim,%,Floyd,%,Hancock,%,Henson,%,Hopkins,%,Howell,%,Kelly,%,Payne,%,Richardson,%,Sibley,%,Spink,%,Spiro,%,Stewart,%,Vallaster,%,Wright,%,Zaeske,%,Total,Winner
Llano,1484,42.06%,999,28.32%,125,3.54%,490,13.89%,306,8.67%,15,0.43%,1,0.03%,2,0.06%,4,0.11%,3,0.09%,3,0.09%,1,0.03%,5,0.14%,6,0.17%,28,0.79%,5,0.14%,33,0.94%,4,0.11%,2,0.06%,9,0.26%,1,0.03%,0,0.00%,1,0.03%,1,0.03%,3528,1
Loving,11,21.15%,10,19.23%,2,3.85%,21,40.38%,2,3.85%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,1.92%,0,0.00%,2,3.85%,1,1.92%,2,3.85%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,52,4
Lubbock,9799,35.87%,4866,17.81%,6745,24.69%,3390,12.41%,1100,4.03%,628,2.30%,15,0.05%,6,0.02%,39,0.14%,29,0.11%,30,0.11%,40,0.15%,219,0.80%,68,0.25%,87,0.32%,53,0.19%,119,0.44%,16,0.06%,7,0.03%,19,0.07%,12,0.04%,8,0.03%,18,0.07%,2,0.01%,27315,1
Lynn,274,24.08%,280,24.60%,190,16.70%,207,18.19%,58,5.10%,90,7.91%,6,0.53%,0,0.00%,0,0.00%,0,0.00%,1,0.09%,0,0.00%,12,1.05%,2,0.18%,2,0.18%,2,0.18%,6,0.53%,0,0.00%,0,0.00%,2,0.18%,4,0.35%,0,0.00%,2,0.18%,0,0.00%,1138,2
Madison,216,14.47%,382,25.59%,485,32.48%,270,18.08%,76,5.09%,25,1.67%,0,0.00%,3,0.20%,4,0.27%,0,0.00%,2,0.13%,5,0.33%,11,0.74%,0,0.00%,6,0.40%,1,0.07%,2,0.13%,2,0.13%,1,0.07%,0,0.00%,0,0.00%,0,0.00%,1,0.07%,1,0.07%,1493,3
Marion,372,25.69%,535,36.95%,43,2.97%,45,3.11%,330,22.79%,9,0.62%,2,0.14%,0,0.00%,3,0.21%,2,0.14%,3,0.21%,3,0.21%,4,0.28%,26,1.80%,16,1.10%,33,2.28%,10,0.69%,4,0.28%,0,0.00%,3,0.21%,1,0.07%,1,0.07%,3,0.21%,0,0.00%,1448,2
Martin,171,22.95%,155,20.81%,82,11.01%,210,28.19%,41,5.50%,23,3.09%,0,0.00%,2,0.27%,1,0.13%,0,0.00%,0,0.00%,1,0.13%,41,5.50%,3,0.40%,4,0.54%,1,0.13%,6,0.81%,1,0.13%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,0.40%,0,0.00%,745,4
Mason,331,39.93%,245,29.55%,49,5.91%,155,18.70%,32,3.86%,3,0.36%,2,0.24%,0,0.00%,2,0.24%,1,0.12%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,0.48%,1,0.12%,2,0.24%,1,0.12%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.12%,829,1
Matagorda,1120,23.71%,1319,27.93%,567,12.01%,964,20.41%,462,9.78%,140,2.96%,5,0.11%,3,0.06%,5,0.11%,2,0.04%,7,0.15%,1,0.02%,15,0.32%,4,0.08%,29,0.61%,16,0.34%,18,0.38%,2,0.04%,4,0.08%,21,0.44%,2,0.04%,4,0.08%,12,0.25%,1,0.02%,4723,2
Maverick,143,12.57%,664,58.35%,42,3.69%,94,8.26%,31,2.72%,112,9.84%,2,0.18%,1,0.09%,2,0.18%,4,0.35%,2,0.18%,1,0.09%,10,0.88%,4,0.35%,11,0.97%,2,0.18%,5,0.44%,0,0.00%,0,0.00%,2,0.18%,1,0.09%,5,0.44%,0,0.00%,0,0.00%,1138,2
McCulloch,421,27.66%,568,37.32%,53,3.48%,220,14.45%,180,11.83%,28,1.84%,7,0.46%,1,0.07%,2,0.13%,1,0.07%,2,0.13%,0,0.00%,4,0.26%,7,0.46%,12,0.79%,0,0.00%,3,0.20%,0,0.00%,2,0.13%,5,0.33%,2,0.13%,0,0.00%,3,0.20%,1,0.07%,1522,2
McLennan,5117,21.43%,7565,31.68%,5482,22.96%,2985,12.50%,1866,7.81%,241,1.01%,14,0.06%,8,0.03%,31,0.13%,7,0.03%,11,0.05%,23,0.10%,24,0.10%,19,0.08%,266,1.11%,29,0.12%,89,0.37%,78,0.33%,2,0.01%,0,0.00%,10,0.04%,3,0.01%,6,0.03%,4,0.02%,23880,2
McMullen,103,30.29%,56,16.47%,36,10.59%,108,31.76%,12,3.53%,13,3.82%,2,0.59%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.29%,0,0.00%,1,0.29%,3,0.88%,1,0.29%,3,0.88%,0,0.00%,0,0.00%,0,0.00%,1,0.29%,0,0.00%,340,4
Medina,1102,25.52%,956,22.14%,362,8.38%,1423,32.96%,172,3.98%,169,3.91%,11,0.25%,4,0.09%,13,0.30%,1,0.02%,3,0.07%,7,0.16%,18,0.42%,4,0.09%,20,0.46%,8,0.19%,10,0.23%,1,0.02%,0,0.00%,15,0.35%,3,0.07%,8,0.19%,6,0.14%,2,0.05%,4318,4
Menard,126,24.66%,231,45.21%,10,1.96%,93,18.20%,38,7.44%,7,1.37%,0,0.00%,1,0.20%,0,0.00%,1,0.20%,0,0.00%,0,0.00%,1,0.20%,0,0.00%,3,0.59%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,511,2
Midland,6576,41.74%,2248,14.27%,2783,17.67%,2722,17.28%,576,3.66%,253,1.61%,17,0.11%,6,0.04%,38,0.24%,3,0.02%,20,0.13%,17,0.11%,250,1.59%,45,0.29%,42,0.27%,37,0.23%,43,0.27%,12,0.08%,3,0.02%,23,0.15%,1,0.01%,12,0.08%,20,0.13%,6,0.04%,15753,1
Milam,626,19.07%,1342,40.88%,499,15.20%,357,10.87%,314,9.56%,18,0.55%,5,0.15%,4,0.12%,4,0.12%,1,0.03%,0,0.00%,4,0.12%,3,0.09%,6,0.18%,40,1.22%,18,0.55%,9,0.27%,6,0.18%,7,0.21%,5,0.15%,3,0.09%,1,0.03%,0,0.00%,11,0.34%,3283,2
Mills,231,22.34%,397,38.39%,100,9.67%,159,15.38%,112,10.83%,7,0.68%,0,0.00%,0,0.00%,0,0.00%,1,0.10%,1,0.10%,2,0.19%,2,0.19%,1,0.10%,9,0.87%,3,0.29%,2,0.19%,1,0.10%,1,0.10%,0,0.00%,0,0.00%,2,0.19%,0,0.00%,3,0.29%,1034,2
Mitchell,307,24.54%,455,36.37%,66,5.28%,159,12.71%,180,14.39%,38,3.04%,18,1.44%,1,0.08%,2,0.16%,0,0.00%,0,0.00%,0,0.00%,14,1.12%,3,0.24%,5,0.40%,1,0.08%,0,0.00%,1,0.08%,1,0.08%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1251,2
Montague,743,28.83%,853,33.10%,357,13.85%,106,4.11%,412,15.99%,10,0.39%,8,0.31%,3,0.12%,0,0.00%,3,0.12%,5,0.19%,6,0.23%,12,0.47%,6,0.23%,27,1.05%,7,0.27%,8,0.31%,2,0.08%,1,0.04%,0,0.00%,2,0.08%,5,0.19%,1,0.04%,0,0.00%,2577,2
Montgomery,5126,21.31%,3482,14.48%,4787,19.91%,8046,33.46%,1962,8.16%,194,0.81%,26,0.11%,9,0.04%,37,0.15%,6,0.02%,8,0.03%,21,0.09%,98,0.41%,6,0.02%,64,0.27%,29,0.12%,25,0.10%,28,0.12%,7,0.03%,3,0.01%,4,0.02%,2,0.01%,65,0.27%,14,0.06%,24049,4
Moore,760,38.15%,358,17.97%,203,10.19%,464,23.29%,71,3.56%,42,2.11%,2,0.10%,2,0.10%,3,0.15%,8,0.40%,0,0.00%,2,0.10%,26,1.31%,19,0.95%,11,0.55%,4,0.20%,4,0.20%,3,0.15%,3,0.15%,3,0.15%,0,0.00%,0,0.00%,4,0.20%,0,0.00%,1992,1
Morris,503,24.09%,827,39.61%,196,9.39%,109,5.22%,381,18.25%,12,0.57%,7,0.34%,0,0.00%,2,0.10%,5,0.24%,1,0.05%,4,0.19%,5,0.24%,0,0.00%,14,0.67%,9,0.43%,9,0.43%,2,0.10%,0,0.00%,1,0.05%,1,0.05%,0,0.00%,0,0.00%,0,0.00%,2088,2
Motley,111,29.29%,76,20.05%,58,15.30%,90,23.75%,26,6.86%,2,0.53%,0,0.00%,0,0.00%,1,0.26%,0,0.00%,0,0.00%,2,0.53%,4,1.06%,2,0.53%,1,0.26%,1,0.26%,1,0.26%,0,0.00%,1,0.26%,1,0.26%,0,0.00%,0,0.00%,2,0.53%,0,0.00%,379,1
Nacogdoches,2528,38.17%,1815,27.40%,616,9.30%,968,14.62%,500,7.55%,50,0.75%,4,0.06%,2,0.03%,17,0.26%,8,0.12%,4,0.06%,5,0.08%,12,0.18%,3,0.05%,17,0.26%,21,0.32%,14,0.21%,5,0.08%,4,0.06%,0,0.00%,10,0.15%,1,0.02%,18,0.27%,1,0.02%,6623,1
Navarro,1050,17.04%,1906,30.93%,2125,34.49%,233,3.78%,633,10.27%,33,0.54%,8,0.13%,9,0.15%,12,0.19%,3,0.05%,2,0.03%,3,0.05%,17,0.28%,6,0.10%,21,0.34%,25,0.41%,14,0.23%,8,0.13%,2,0.03%,1,0.02%,50,0.81%,0,0.00%,1,0.02%,0,0.00%,6162,3
Newton,364,19.68%,843,45.57%,133,7.19%,61,3.30%,206,11.14%,26,1.41%,10,0.54%,10,0.54%,6,0.32%,4,0.22%,8,0.43%,4,0.22%,5,0.27%,28,1.51%,49,2.65%,32,1.73%,13,0.70%,6,0.32%,8,0.43%,7,0.38%,12,0.65%,3,0.16%,6,0.32%,6,0.32%,1850,2
Nolan,662,28.09%,723,30.67%,70,2.97%,355,15.06%,413,17.52%,56,2.38%,5,0.21%,4,0.17%,5,0.21%,0,0.00%,6,0.25%,6,0.25%,0,0.00%,19,0.81%,18,0.76%,2,0.08%,3,0.13%,3,0.13%,2,0.08%,0,0.00%,0,0.00%,1,0.04%,1,0.04%,3,0.13%,2357,2
Nueces,11851,32.88%,13967,38.75%,914,2.54%,2782,7.72%,1619,4.49%,2552,7.08%,35,0.10%,12,0.03%,66,0.18%,51,0.14%,54,0.15%,21,0.06%,340,0.94%,79,0.22%,262,0.73%,89,0.25%,219,0.61%,40,0.11%,587,1.63%,237,0.66%,22,0.06%,33,0.09%,176,0.49%,33,0.09%,36041,2
Ochiltree,477,46.22%,117,11.34%,141,13.66%,217,21.03%,47,4.55%,2,0.19%,1,0.10%,0,0.00%,1,0.10%,1,0.10%,0,0.00%,2,0.19%,7,0.68%,6,0.58%,1,0.10%,2,0.19%,5,0.48%,2,0.19%,0,0.00%,1,0.10%,0,0.00%,1,0.10%,1,0.10%,0,0.00%,1032,1
Oldham,130,29.89%,91,20.92%,60,13.79%,112,25.75%,26,5.98%,4,0.92%,1,0.23%,0,0.00%,0,0.00%,1,0.23%,0,0.00%,0,0.00%,6,1.38%,0,0.00%,0,0.00%,0,0.00%,3,0.69%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.23%,0,0.00%,435,1
Orange,2464,24.24%,4643,45.69%,1108,10.90%,311,3.06%,931,9.16%,71,0.70%,17,0.17%,2,0.02%,29,0.29%,8,0.08%,15,0.15%,27,0.27%,28,0.28%,52,0.51%,140,1.38%,109,1.07%,83,0.82%,10,0.10%,19,0.19%,50,0.49%,8,0.08%,3,0.03%,27,0.27%,8,0.08%,10163,2
Palo Pinto,1076,30.97%,1235,35.55%,465,13.39%,154,4.43%,413,11.89%,26,0.75%,4,0.12%,3,0.09%,6,0.17%,5,0.14%,4,0.12%,3,0.09%,5,0.14%,4,0.12%,22,0.63%,13,0.37%,13,0.37%,4,0.12%,4,0.12%,2,0.06%,1,0.03%,3,0.09%,6,0.17%,3,0.09%,3474,2
Panola,1174,32.60%,858,23.83%,325,9.03%,253,7.03%,790,21.94%,34,0.94%,1,0.03%,5,0.14%,4,0.11%,4,0.11%,5,0.14%,12,0.33%,20,0.56%,5,0.14%,50,1.39%,8,0.22%,14,0.39%,3,0.08%,1,0.03%,20,0.56%,7,0.19%,4,0.11%,2,0.06%,2,0.06%,3601,1
Parker,2717,30.00%,2379,26.26%,2345,25.89%,375,4.14%,999,11.03%,54,0.60%,10,0.11%,5,0.06%,20,0.22%,2,0.02%,2,0.02%,6,0.07%,33,0.36%,6,0.07%,45,0.50%,10,0.11%,30,0.33%,3,0.03%,2,0.02%,3,0.03%,4,0.04%,0,0.00%,4,0.04%,4,0.04%,9058,1
Parmer,507,37.44%,192,14.18%,253,18.69%,281,20.75%,50,3.69%,19,1.40%,1,0.07%,0,0.00%,0,0.00%,0,0.00%,2,0.15%,2,0.15%,12,0.89%,5,0.37%,8,0.59%,0,0.00%,7,0.52%,6,0.44%,3,0.22%,2,0.15%,0,0.00%,0,0.00%,0,0.00%,4,0.30%,1354,1
Pecos,476,32.10%,306,20.63%,136,9.17%,273,18.41%,72,4.86%,71,4.79%,5,0.34%,1,0.07%,2,0.13%,1,0.07%,1,0.07%,2,0.13%,66,4.45%,7,0.47%,23,1.55%,12,0.81%,1,0.07%,14,0.94%,0,0.00%,5,0.34%,2,0.13%,5,0.34%,0,0.00%,2,0.13%,1483,1
Polk,1274,17.63%,2323,32.15%,527,7.29%,1831,25.34%,696,9.63%,92,1.27%,19,0.26%,4,0.06%,14,0.19%,10,0.14%,21,0.29%,19,0.26%,49,0.68%,30,0.42%,138,1.91%,34,0.47%,31,0.43%,8,0.11%,65,0.90%,4,0.06%,6,0.08%,4,0.06%,17,0.24%,9,0.12%,7225,2
Potter,2706,34.29%,1632,20.68%,1168,14.80%,1550,19.64%,374,4.74%,155,1.96%,5,0.06%,4,0.05%,11,0.14%,7,0.09%,3,0.04%,10,0.13%,107,1.36%,19,0.24%,48,0.61%,15,0.19%,9,0.11%,12,0.15%,7,0.09%,4,0.05%,17,0.22%,1,0.01%,22,0.28%,5,0.06%,7891,1
Presidio,185,21.61%,217,25.35%,23,2.69%,109,12.73%,38,4.44%,182,21.26%,1,0.12%,2,0.23%,3,0.35%,4,0.47%,1,0.12%,2,0.23%,7,0.82%,1,0.12%,36,4.21%,15,1.75%,4,0.47%,3,0.35%,3,0.35%,1,0.12%,7,0.82%,6,0.70%,4,0.47%,2,0.23%,856,2
Rains,317,27.78%,340,29.80%,209,18.32%,54,4.73%,189,16.56%,6,0.53%,2,0.18%,0,0.00%,0,0.00%,0,0.00%,1,0.09%,0,0.00%,4,0.35%,3,0.26%,7,0.61%,1,0.09%,4,0.35%,0,0.00%,2,0.18%,1,0.09%,0,0.00%,1,0.09%,0,0.00%,0,0.00%,1141,2
Randall,5450,40.47%,2146,15.94%,1911,14.19%,2848,21.15%,534,3.97%,133,0.99%,18,0.13%,6,0.04%,29,0.22%,6,0.04%,12,0.09%,35,0.26%,140,1.04%,17,0.13%,36,0.27%,21,0.16%,26,0.19%,6,0.04%,33,0.25%,2,0.01%,7,0.05%,4,0.03%,40,0.30%,6,0.04%,13466,1
Reagan,160,29.47%,128,23.57%,56,10.31%,135,24.86%,36,6.63%,9,1.66%,0,0.00%,1,0.18%,1,0.18%,1,0.18%,0,0.00%,0,0.00%,7,1.29%,1,0.18%,1,0.18%,1,0.18%,1,0.18%,2,0.37%,0,0.00%,0,0.00%,0,0.00%,1,0.18%,2,0.37%,0,0.00%,543,1
Real,209,26.03%,193,24.03%,84,10.46%,210,26.15%,66,8.22%,3,0.37%,4,0.50%,0,0.00%,2,0.25%,0,0.00%,0,0.00%,3,0.37%,8,1.00%,2,0.25%,6,0.75%,3,0.37%,3,0.37%,1,0.12%,0,0.00%,0,0.00%,1,0.12%,1,0.12%,4,0.50%,0,0.00%,803,4
Red River,493,26.07%,717,37.92%,234,12.37%,95,5.02%,262,13.86%,9,0.48%,3,0.16%,1,0.05%,5,0.26%,4,0.21%,2,0.11%,8,0.42%,6,0.32%,3,0.16%,26,1.37%,1,0.05%,6,0.32%,1,0.05%,8,0.42%,4,0.21%,0,0.00%,1,0.05%,2,0.11%,0,0.00%,1891,2
Reeves,333,24.98%,285,21.38%,106,7.95%,186,13.95%,96,7.20%,220,16.50%,8,0.60%,7,0.53%,1,0.08%,2,0.15%,1,0.08%,1,0.08%,43,3.23%,4,0.30%,15,1.13%,5,0.38%,5,0.38%,1,0.08%,5,0.38%,3,0.23%,2,0.15%,1,0.08%,1,0.08%,2,0.15%,1333,1
Refugio,513,35.21%,409,28.07%,110,7.55%,200,13.73%,77,5.28%,96,6.59%,1,0.07%,0,0.00%,2,0.14%,2,0.14%,1,0.07%,1,0.07%,7,0.48%,3,0.21%,19,1.30%,2,0.14%,2,0.14%,2,0.14%,6,0.41%,0,0.00%,0,0.00%,1,0.07%,1,0.07%,2,0.14%,1457,1
Roberts,133,34.55%,61,15.84%,68,17.66%,83,21.56%,22,5.71%,0,0.00%,1,0.26%,1,0.26%,0,0.00%,0,0.00%,1,0.26%,3,0.78%,7,1.82%,0,0.00%,4,1.04%,0,0.00%,0,0.00%,0,0.00%,1,0.26%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,385,1
Robertson,291,12.43%,1026,43.83%,500,21.36%,256,10.94%,163,6.96%,49,2.09%,1,0.04%,3,0.13%,0,0.00%,2,0.09%,1,0.04%,0,0.00%,4,0.17%,1,0.04%,17,0.73%,10,0.43%,3,0.13%,3,0.13%,0,0.00%,0,0.00%,1,0.04%,1,0.04%,2,0.09%,7,0.30%,2341,2
Rockwall,1870,40.43%,754,16.30%,1106,23.91%,260,5.62%,492,10.64%,22,0.48%,5,0.11%,1,0.02%,22,0.48%,1,0.02%,1,0.02%,10,0.22%,19,0.41%,14,0.30%,16,0.35%,8,0.17%,6,0.13%,6,0.13%,0,0.00%,4,0.09%,2,0.04%,0,0.00%,3,0.06%,3,0.06%,4625,1
Runnels,509,27.03%,617,32.77%,65,3.45%,356,18.91%,257,13.65%,27,1.43%,1,0.05%,1,0.05%,1,0.05%,0,0.00%,5,0.27%,5,0.27%,12,0.64%,3,0.16%,1,0.05%,11,0.58%,3,0.16%,1,0.05%,3,0.16%,2,0.11%,0,0.00%,1,0.05%,2,0.11%,0,0.00%,1883,2
Rusk,2187,39.79%,1172,21.32%,752,13.68%,530,9.64%,526,9.57%,16,0.29%,17,0.31%,21,0.38%,7,0.13%,5,0.09%,4,0.07%,10,0.18%,94,1.71%,3,0.05%,29,0.53%,58,1.06%,11,0.20%,25,0.45%,7,0.13%,2,0.04%,2,0.04%,2,0.04%,7,0.13%,9,0.16%,5496,1
Sabine,396,33.33%,417,35.10%,65,5.47%,141,11.87%,108,9.09%,3,0.25%,1,0.08%,0,0.00%,2,0.17%,2,0.17%,0,0.00%,1,0.08%,4,0.34%,1,0.08%,8,0.67%,27,2.27%,1,0.08%,1,0.08%,2,0.17%,1,0.08%,0,0.00%,0,0.00%,7,0.59%,0,0.00%,1188,2
San Augustine,315,28.38%,359,32.34%,52,4.68%,218,19.64%,123,11.08%,2,0.18%,3,0.27%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,0.36%,1,0.09%,3,0.27%,7,0.63%,5,0.45%,11,0.99%,0,0.00%,1,0.09%,1,0.09%,0,0.00%,0,0.00%,4,0.36%,1,0.09%,1110,2
San Jacinto,497,18.36%,746,27.56%,267,9.86%,711,26.27%,359,13.26%,15,0.55%,2,0.07%,2,0.07%,7,0.26%,3,0.11%,4,0.15%,6,0.22%,15,0.55%,10,0.37%,15,0.55%,12,0.44%,16,0.59%,3,0.11%,1,0.04%,2,0.07%,3,0.11%,1,0.04%,7,0.26%,3,0.11%,2707,2
San Patricio,2097,41.30%,1466,28.87%,158,3.11%,629,12.39%,355,6.99%,215,4.23%,11,0.22%,5,0.10%,5,0.10%,3,0.06%,7,0.14%,7,0.14%,12,0.24%,5,0.10%,42,0.83%,5,0.10%,11,0.22%,15,0.30%,6,0.12%,4,0.08%,8,0.16%,6,0.12%,3,0.06%,3,0.06%,5078,1
San Saba,254,22.22%,400,35.00%,144,12.60%,207,18.11%,94,8.22%,10,0.87%,2,0.17%,0,0.00%,1,0.09%,0,0.00%,1,0.09%,1,0.09%,3,0.26%,0,0.00%,13,1.14%,1,0.09%,4,0.35%,1,0.09%,2,0.17%,3,0.26%,0,0.00%,1,0.09%,1,0.09%,0,0.00%,1143,2
Schleicher,174,28.38%,197,32.14%,15,2.45%,127,20.72%,60,9.79%,26,4.24%,0,0.00%,1,0.16%,0,0.00%,0,0.00%,2,0.33%,1,0.16%,2,0.33%,0,0.00%,2,0.33%,0,0.00%,2,0.33%,0,0.00%,2,0.33%,0,0.00%,0,0.00%,1,0.16%,1,0.16%,0,0.00%,613,2
Scurry,680,32.50%,470,22.47%,237,11.33%,332,15.87%,288,13.77%,13,0.62%,6,0.29%,2,0.10%,2,0.10%,3,0.14%,2,0.10%,4,0.19%,15,0.72%,6,0.29%,11,0.53%,5,0.24%,7,0.33%,2,0.10%,1,0.05%,1,0.05%,1,0.05%,1,0.05%,2,0.10%,1,0.05%,2092,1
Shackelford,211,34.70%,158,25.99%,56,9.21%,120,19.74%,48,7.89%,5,0.82%,1,0.16%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0.33%,1,0.16%,1,0.16%,4,0.66%,0,0.00%,1,0.16%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,608,1
Shelby,958,32.43%,976,33.04%,137,4.64%,246,8.33%,446,15.10%,12,0.41%,6,0.20%,1,0.03%,0,0.00%,1,0.03%,1,0.03%,2,0.07%,19,0.64%,4,0.14%,98,3.32%,15,0.51%,11,0.37%,2,0.07%,0,0.00%,16,0.54%,1,0.03%,0,0.00%,1,0.03%,1,0.03%,2954,2
Sherman,238,38.02%,102,16.29%,68,10.86%,160,25.56%,16,2.56%,10,1.60%,1,0.16%,0,0.00%,0,0.00%,0,0.00%,1,0.16%,0,0.00%,11,1.76%,3,0.48%,5,0.80%,3,0.48%,0,0.00%,0,0.00%,4,0.64%,0,0.00%,2,0.32%,0,0.00%,2,0.32%,0,0.00%,626,1
Smith,8455,44.99%,3854,20.51%,2918,15.53%,1447,7.70%,1564,8.32%,74,0.39%,18,0.10%,2,0.01%,51,0.27%,26,0.14%,5,0.03%,15,0.08%,53,0.28%,50,0.27%,44,0.23%,47,0.25%,55,0.29%,17,0.09%,6,0.03%,65,0.35%,4,0.02%,5,0.03%,11,0.06%,5,0.03%,18791,1
Somervell,316,24.35%,351,27.04%,409,31.51%,42,3.24%,116,8.94%,7,0.54%,1,0.08%,0,0.00%,3,0.23%,1,0.08%,4,0.31%,3,0.23%,3,0.23%,1,0.08%,24,1.85%,1,0.08%,3,0.23%,10,0.77%,0,0.00%,0,0.00%,1,0.08%,2,0.15%,0,0.00%,0,0.00%,1298,3
Starr,194,10.67%,1100,60.47%,20,1.10%,60,3.30%,66,3.63%,261,14.35%,3,0.16%,0,0.00%,3,0.16%,4,0.22%,7,0.38%,7,0.38%,3,0.16%,4,0.22%,37,2.03%,7,0.38%,2,0.11%,7,0.38%,5,0.27%,24,1.32%,1,0.05%,2,0.11%,0,0.00%,2,0.11%,1819,2
Stephens,502,36.62%,306,22.32%,188,13.71%,208,15.17%,131,9.56%,2,0.15%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.07%,2,0.15%,2,0.15%,12,0.88%,9,0.66%,3,0.22%,3,0.22%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0.15%,0,0.00%,0,0.00%,1371,1
Sterling,142,35.24%,111,27.54%,9,2.23%,86,21.34%,34,8.44%,7,1.74%,3,0.74%,0,0.00%,2,0.50%,0,0.00%,0,0.00%,0,0.00%,2,0.50%,0,0.00%,4,0.99%,1,0.25%,0,0.00%,0,0.00%,0,0.00%,1,0.25%,0,0.00%,0,0.00%,1,0.25%,0,0.00%,403,1
Stonewall,114,21.11%,199,36.85%,17,3.15%,118,21.85%,79,14.63%,2,0.37%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,0.74%,0,0.00%,1,0.19%,2,0.37%,0,0.00%,4,0.74%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,540,2
Sutton,253,34.42%,190,25.85%,50,6.80%,93,12.65%,42,5.71%,80,10.88%,0,0.00%,1,0.14%,1,0.14%,0,0.00%,2,0.27%,1,0.14%,7,0.95%,7,0.95%,3,0.41%,0,0.00%,1,0.14%,0,0.00%,1,0.14%,1,0.14%,1,0.14%,0,0.00%,1,0.14%,0,0.00%,735,1
Swisher,252,23.80%,410,38.72%,101,9.54%,146,13.79%,96,9.07%,31,2.93%,1,0.09%,1,0.09%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,8,0.76%,3,0.28%,3,0.28%,3,0.28%,1,0.09%,1,0.09%,0,0.00%,0,0.00%,0,0.00%,2,0.19%,0,0.00%,0,0.00%,1059,2
Tarrant,45846,30.53%,40348,26.87%,37675,25.09%,5363,3.57%,14570,9.70%,2176,1.45%,61,0.04%,69,0.05%,473,0.31%,105,0.07%,89,0.06%,120,0.08%,488,0.32%,89,0.06%,273,0.18%,759,0.51%,447,0.30%,122,0.08%,39,0.03%,114,0.08%,30,0.02%,525,0.35%,292,0.19%,104,0.07%,150177,1
Taylor,5979,37.16%,3118,19.38%,1388,8.63%,3031,18.84%,2095,13.02%,100,0.62%,31,0.19%,5,0.03%,37,0.23%,2,0.01%,8,0.05%,11,0.07%,36,0.22%,28,0.17%,22,0.14%,10,0.06%,38,0.24%,13,0.08%,37,0.23%,18,0.11%,4,0.02%,6,0.04%,67,0.42%,6,0.04%,16090,1
Terrell,61,27.35%,86,38.57%,13,5.83%,14,6.28%,7,3.14%,19,8.52%,1,0.45%,2,0.90%,0,0.00%,0,0.00%,1,0.45%,1,0.45%,2,0.90%,1,0.45%,4,1.79%,3,1.35%,1,0.45%,0,0.00%,0,0.00%,4,1.79%,3,1.35%,0,0.00%,0,0.00%,0,0.00%,223,2
Terry,419,27.24%,373,24.25%,326,21.20%,250,16.25%,98,6.37%,33,2.15%,2,0.13%,0,0.00%,0,0.00%,0,0.00%,1,0.07%,0,0.00%,16,1.04%,4,0.26%,6,0.39%,3,0.20%,4,0.26%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,0.20%,0,0.00%,1538,1
Throckmorton,148,25.74%,259,45.04%,26,4.52%,40,6.96%,57,9.91%,2,0.35%,2,0.35%,0,0.00%,1,0.17%,11,1.91%,1,0.17%,1,0.17%,0,0.00%,12,2.09%,5,0.87%,0,0.00%,7,1.22%,0,0.00%,0,0.00%,2,0.35%,0,0.00%,0,0.00%,1,0.17%,0,0.00%,575,2
Titus,734,26.25%,930,33.26%,300,10.73%,198,7.08%,502,17.95%,27,0.97%,1,0.04%,3,0.11%,4,0.14%,3,0.11%,1,0.04%,5,0.18%,6,0.21%,2,0.07%,28,1.00%,30,1.07%,3,0.11%,6,0.21%,2,0.07%,0,0.00%,0,0.00%,2,0.07%,8,0.29%,1,0.04%,2796,2
Tom Green,4293,33.88%,4271,33.71%,721,5.69%,1735,13.69%,1080,8.52%,129,1.02%,27,0.21%,4,0.03%,36,0.28%,7,0.06%,12,0.09%,10,0.08%,139,1.10%,21,0.17%,38,0.30%,20,0.16%,43,0.34%,12,0.09%,6,0.05%,5,0.04%,2,0.02%,46,0.36%,11,0.09%,3,0.02%,12671,1
