County,Hutchinson,%,Krueger,%,Barton,%,Fields,%,Fisher,%,Gutierrez,%,Brown,%,Davis,%,Draheim,%,Floyd,%,Hancock,%,Henson,%,Hopkins,%,Howell,%,Kelly,%,Payne,%,Richardson,%,Sibley,%,Spink,%,Spiro,%,Stewart,%,Vallaster,%,Wright,%,Zaeske,%,Total,Winner
Cass,1024,21.74%,1754,37.24%,672,14.27%,317,6.73%,792,16.82%,4,0.08%,5,0.11%,2,0.04%,5,0.11%,0,0.00%,21,0.45%,7,0.15%,8,0.17%,7,0.15%,27,0.57%,9,0.19%,38,0.81%,2,0.04%,5,0.11%,1,0.02%,1,0.02%,3,0.06%,4,0.08%,2,0.04%,4710,2
Castro,322,22.09%,395,27.09%,325,22.29%,214,14.68%,28,1.92%,118,8.09%,2,0.14%,1,0.07%,0,0.00%,0,0.00%,2,0.14%,1,0.07%,17,1.17%,2,0.14%,8,0.55%,17,1.17%,1,0.07%,1,0.07%,0,0.00%,2,0.14%,0,0.00%,1,0.07%,1,0.07%,0,0.00%,1458,2
Chambers,523,17.75%,633,21.49%,187,6.35%,1125,38.19%,352,11.95%,39,1.32%,7,0.24%,2,0.07%,1,0.03%,1,0.03%,3,0.10%,8,0.27%,10,0.34%,3,0.10%,20,0.68%,7,0.24%,10,0.34%,3,0.10%,3,0.10%,1,0.03%,4,0.14%,1,0.03%,3,0.10%,0,0.00%,2946,4
Cherokee,1760,34.67%,1318,25.96%,688,13.55%,613,12.07%,555,10.93%,15,0.30%,6,0.12%,3,0.06%,9,0.18%,4,0.08%,5,0.10%,5,0.10%,13,0.26%,9,0.18%,22,0.43%,11,0.22%,14,0.28%,1,0.02%,6,0.12%,7,0.14%,5,0.10%,2,0.04%,6,0.12%,0,0.00%,5077,1
Childress,264,32.31%,265,32.44%,69,8.45%,151,18.48%,37,4.53%,3,0.37%,0,0.00%,1,0.12%,1,0.12%,0,0.00%,0,0.00%,2,0.24%,12,1.47%,3,0.37%,3,0.37%,2,0.24%,1,0.12%,1,0.12%,2,0.24%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,817,2
Clay,447,27.22%,534,32.52%,122,7.43%,43,2.62%,407,24.79%,4,0.24%,8,0.49%,0,0.00%,6,0.37%,0,0.00%,1,0.06%,1,0.06%,4,0.24%,24,1.46%,26,1.58%,3,0.18%,6,0.37%,1,0.06%,2,0.12%,1,0.06%,0,0.00%,0,0.00%,2,0.12%,0,0.00%,1642,2
Cochran,161,20.20%,171,21.46%,196,24.59%,159,19.95%,50,6.27%,20,2.51%,1,0.13%,2,0.25%,2,0.25%,2,0.25%,1,0.13%,1,0.13%,6,0.75%,2,0.25%,9,1.13%,1,0.13%,3,0.38%,1,0.13%,0,0.00%,1,0.13%,1,0.13%,7,0.88%,0,0.00%,0,0.00%,797,3
Coke,126,17.12%,275,37.36%,20,2.72%,168,22.83%,120,16.30%,3,0.41%,1,0.14%,0,0.00%,2,0.27%,0,0.00%,0,0.00%,1,0.14%,9,1.22%,4,0.54%,2,0.27%,0,0.00%,2,0.27%,0,0.00%,0,0.00%,0,0.00%,1,0.14%,0,0.00%,2,0.27%,0,0.00%,736,2
Coleman,526,28.05%,587,31.31%,79,4.21%,381,20.32%,190,10.13%,20,1.07%,3,0.16%,1,0.05%,7,0.37%,1,0.05%,2,0.11%,5,0.27%,17,0.91%,25,1.33%,21,1.12%,2,0.11%,4,0.21%,2,0.11%,1,0.05%,1,0.05%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1875,2
Collin,16923,41.78%,6080,15.01%,9460,23.36%,1896,4.68%,4212,10.40%,251,0.62%,19,0.05%,28,0.07%,168,0.41%,17,0.04%,51,0.13%,99,0.24%,565,1.40%,137,0.34%,175,0.43%,30,0.07%,199,0.49%,33,0.08%,10,0.02%,44,0.11%,18,0.04%,14,0.03%,25,0.06%,47,0.12%,40501,1
